unit_id,proba_failure,needs_maintenance,days_to_maintenance,message
2,0.35006997,0,5,
2,0.0013012307,0,7,
2,0.0023212833,0,7,
5,0.0021438897,0,7,
12,0.00086750096,0,7,
14,0.0016302206,0,7,
21,5.8829715e-05,0,7,
28,0.09762786,0,6,
28,0.00022458719,0,7,
28,6.581209e-05,0,7,
36,0.01534785,0,7,
43,0.0010462367,0,7,
57,0.0070968717,0,7,
57,0.0037934447,0,7,
93,0.01919074,0,7,
98,0.005789771,0,7,
98,0.99775594,1,1,in 1 days machine 98.0 needs maintenance
98,0.9831429,1,1,in 1 days machine 98.0 needs maintenance
102,0.00026037826,0,7,
109,0.0014069149,0,7,
120,0.00056021987,0,7,
120,0.00051912,0,7,
120,0.0039506666,0,7,
121,0.00035178603,0,7,
132,0.0022536747,0,7,
137,0.00049016724,0,7,
141,0.0005623094,0,7,
144,0.0012430672,0,7,
149,0.00039582056,0,7,
157,0.21702455,0,6,
158,0.0005126022,0,7,
197,0.00053962134,0,7,
205,0.00027822374,0,7,
205,0.003081705,0,7,
211,0.001302385,0,7,
222,0.0015080057,0,7,
233,0.00488714,0,7,
233,0.03067624,0,7,
241,0.014353967,0,7,
243,0.0022312945,0,7,
245,0.9894292,1,1,in 1 days machine 245.0 needs maintenance
245,0.00013659344,0,7,
245,0.00030123806,0,7,
249,0.00021327315,0,7,
268,0.00033543597,0,7,
273,0.00011836317,0,7,
275,0.005922621,0,7,
282,0.0010689253,0,7,
282,0.0010676408,0,7,
284,0.00016203096,0,7,
284,0.0060720495,0,7,
284,0.00045168638,0,7,
288,0.048536252,0,7,
314,0.00012540135,0,7,
324,0.0013442578,0,7,
328,0.023526015,0,7,
331,0.020751964,0,7,
331,0.2496795,0,6,
331,0.001097584,0,7,
355,0.04405353,0,7,
355,0.002686369,0,7,
355,0.0020323328,0,7,
355,0.00042683768,0,7,
355,0.22326499,0,6,
366,0.011677491,0,7,
366,0.98295194,1,1,in 1 days machine 366.0 needs maintenance
378,0.0036183298,0,7,
378,0.96658874,1,1,in 1 days machine 378.0 needs maintenance
381,0.0011208972,0,7,
389,0.9751291,1,1,in 1 days machine 389.0 needs maintenance
406,0.02575429,0,7,
421,0.0014577112,0,7,
427,0.0030186165,0,7,
427,0.0067977435,0,7,
432,0.00021422554,0,7,
432,0.01199337,0,7,
475,0.8707535,1,2,in 2 days machine 475.0 needs maintenance
483,0.007992866,0,7,
483,0.0014448266,0,7,
498,0.0012294838,0,7,
505,0.0063631847,0,7,
531,0.00029472212,0,7,
531,0.6335001,1,3,in 3 days machine 531.0 needs maintenance
540,0.20820029,0,6,
542,0.000650451,0,7,
542,0.0017826036,0,7,
554,0.006005733,0,7,
586,0.0018724843,0,7,
586,0.002056208,0,7,
589,0.0009704771,0,7,
589,7.374786e-05,0,7,
592,0.0058537666,0,7,
593,0.0009203851,0,7,
601,0.0004636925,0,7,
601,0.0005229516,0,7,
619,0.00023721039,0,7,
619,0.032577652,0,7,
625,0.65032023,1,3,in 3 days machine 625.0 needs maintenance
625,0.00013443014,0,7,
648,0.0009009994,0,7,
654,0.014330455,0,7,
654,0.06309252,0,7,
664,0.000104327766,0,7,
682,0.3516161,0,5,
682,0.0008076241,0,7,
685,0.0019504433,0,7,
686,0.011174616,0,7,
690,0.84813625,1,2,in 2 days machine 690.0 needs maintenance
705,0.0016835211,0,7,
707,0.0042028585,0,7,
707,0.00052483345,0,7,
717,0.00018861087,0,7,
736,0.003541778,0,7,
745,0.018839123,0,7,
769,0.3138442,0,5,
769,0.85236776,1,2,in 2 days machine 769.0 needs maintenance
788,0.0027249462,0,7,
788,0.005441809,0,7,
788,0.0012227509,0,7,
789,0.000809744,0,7,
795,0.0018370347,0,7,
798,0.7349546,1,3,in 3 days machine 798.0 needs maintenance
834,0.00011951171,0,7,
834,0.48877814,0,4,
841,0.0027602725,0,7,
842,0.018236533,0,7,
844,0.79067767,1,2,in 2 days machine 844.0 needs maintenance
844,3.1559255e-05,0,7,
847,0.000754001,0,7,
