unit_id,product_id,engine_type,air_temp,process_temp,rpm,torque_nm,tool_wear,target,timestamp
1,M16212,M,0.44800990232628324,0.8746726186183724,1.4457687285057184,-1.5374275370190211,-0.1208180859016351,0,2025-11-07 22:22:05.611405
3,L53367,L,0.39792774902840833,0.8070748699930677,-0.786625362935859,0.8680215097172621,0.05211606438047105,0,2025-11-07 22:22:05.611405
3,M17819,L,-0.8040439301210163,-1.220857588765615,1.7165293980122462,-1.2978807439830429,1.3569828346909083,0,2025-11-07 22:32:05.611405
3,L56429,M,0.347845595730505,0.40148837824135414,-0.5545447890731209,0.16934336336232506,1.1997699707980847,0,2025-11-07 22:42:05.611405
3,H37423,L,1.3604912998829006,0.7265280520974845,-1.0170552476514052,0.9310837078836165,0.9926027965863895,1,2025-11-07 22:52:05.611405
3,L51719,L,0.2977634424326301,-0.4096846052621496,-0.7147908995973925,0.05955108322083481,-0.13653937229091748,0,2025-11-07 23:02:05.611405
4,H36801,L,0.10158450867973809,0.31344232873629846,-1.2441319410745637,2.7886841529641604,-0.6939937262716006,1,2025-11-07 22:22:05.611405
4,L49342,H,0.54817420892209,0.8746726186183724,3.6892142758455213,-2.3359168471389493,-1.0169314100907305,0,2025-11-07 22:32:05.611405
8,L54850,L,-1.2592994418649053,-0.970729069761579,7.154385299069208,-3.4620077922040844,0.17646869669100818,1,2025-11-07 22:22:05.611405
8,M18814,L,1.140176800829048,0.4673583848316847,-0.9498474470097136,0.5289232140949957,-0.2635151322805683,1,2025-11-07 22:32:05.611405
9,H31473,L,1.149160048496788,0.06349963511490707,-0.2893098475157057,0.598531367551786,1.1997699707980847,0,2025-11-07 22:22:05.611405
11,L54098,H,1.3494886616883446,1.3478568589953905,-0.3058870313630442,0.14938113060932656,-0.6710631095265183,0,2025-11-07 22:22:05.611405
11,L56275,L,-0.6537974702273347,-0.0716958621357025,-0.5158646934293312,0.3290412253863101,-0.9697675509228835,0,2025-11-07 22:32:05.611405
13,M19545,M,0.9822826130966367,0.2662928809907446,-1.5134580867907026,1.3048189603025848,-0.48228887251683245,1,2025-11-07 22:22:05.611405
13,L52691,L,-0.9770189788696124,-0.19155254770534041,-1.183500921745416,3.0276647374751704,-1.2825616814047422,1,2025-11-07 22:32:05.611405
15,L53877,L,1.975847279050437,1.972912179085586,-0.9717738469037766,2.1813976955978602,1.4707018502912415,1,2025-11-07 22:22:05.611405
16,L55618,L,-0.48655077967825694,0.25481995857485235,-0.9756406495177162,0.9045579164153718,1.8920832487869494,1,2025-11-07 22:22:05.611405
16,M21630,L,-1.2970401313507487,-1.6359500149758865,6.1637906692168665,-2.9144317123515435,-0.6871528767311195,1,2025-11-07 22:32:05.611405
17,L57046,L,0.7485028221136465,0.40148837824135414,0.14169693251509385,0.3889279236453048,0.5394759424482247,0,2025-11-07 22:22:05.611405
19,M21485,H,1.2151425312085966,0.5027813648455657,-1.070505375534118,1.5712615674074808,-0.006380663997931982,1,2025-11-07 22:22:05.611405
20,L50728,L,1.1380471641920928,0.06949942474266088,-1.0327000828818456,1.0858342773081189,-1.1074451228711892,1,2025-11-07 22:22:05.611405
20,L52939,L,-0.739827723590839,-1.1804238468739139,-1.0470287785813903,2.828667747202366,1.0430871889353297,1,2025-11-07 22:32:05.611405
20,L49764,L,0.6575608466436863,0.032980164571060816,4.516968072277686,-2.570858388455187,1.5606747617044732,1,2025-11-07 22:42:05.611405
20,L51251,L,1.6135259886675557,0.9790549202214066,-1.1704584837785819,1.487591205090388,1.7161285404324382,1,2025-11-07 22:52:05.611405
20,L52187,L,1.4997351215820263,0.8070748699930677,0.3406231386831552,-0.7089948777695962,-0.6081779639693888,0,2025-11-07 23:02:05.611405
23,M21065,L,1.1452169372562782,0.06749125825137717,-1.2005986619335514,1.271588294971709,0.4112300876053807,1,2025-11-07 22:22:05.611405
23,L50754,L,0.8486671287094248,0.13109738374017343,-1.151323407577305,2.1156610567796497,-0.9540462645336011,1,2025-11-07 22:32:05.611405
24,H34864,L,1.199242201794663,0.7394771213678013,0.5229721610038781,-0.5792403648751074,1.1997699707980847,0,2025-11-07 22:22:05.611405
24,M18248,L,-0.4727430651111352,0.006872195188834904,-0.5553476000377883,0.5665362833877395,-0.9773001164909335,1,2025-11-07 22:32:05.611405
24,M17938,M,1.199242201794663,0.24120520765318987,-0.9134038097962502,1.033892500630831,0.7541441371682666,1,2025-11-07 22:42:05.611405
25,M21468,L,1.1275994874593949,0.18586291372028657,-1.0706011250127272,1.1021378145828495,0.6656458670181414,1,2025-11-07 22:22:05.611405
25,H30368,M,0.14751698253894843,1.2126613617448194,0.2908915871411399,-0.7888438087815887,-1.5200125745477666,0,2025-11-07 22:32:05.611405
26,M17417,L,1.1144859344620437,0.49434171355281903,-1.0451187573370202,0.9819801977610244,-1.051310843336528,1,2025-11-07 22:22:05.611405
26,M20654,H,1.0990778951988847,1.2802591103700858,0.31852022688670395,-0.41954250285112243,0.8224590974553075,0,2025-11-07 22:32:05.611405
27,M15339,L,-0.42324972642542347,0.14507540852551948,-0.853384277476229,0.8840251438881601,1.992602631149731,1,2025-11-07 22:22:05.611405
27,M20583,L,-1.3165588455088284,-1.3759118345462076,-1.2601721188636736,2.883022606204049,0.7827272834961942,1,2025-11-07 22:32:05.611405
29,L52114,M,-0.9542903900146694,-0.8828688456391679,-0.06828072955119312,0.29909787625681306,-0.8125546870300597,0,2025-11-07 22:22:05.611405
29,H39163,L,1.4997351215820263,0.8070748699930677,-0.9649939198324178,0.7753676570327425,-0.2109547561528137,1,2025-11-07 22:32:05.611405
29,M16429,M,0.887752466125674,0.4846768026829563,6.627617740044159,-3.1236520625208755,-1.1829349203035784,1,2025-11-07 22:42:05.611405
30,L56869,L,1.1024791291770237,0.2525205642474216,-1.1301913367268275,1.1759871148896524,-1.3321308874893147,1,2025-11-07 22:22:05.611405
30,M18175,M,-0.6037153169294313,0.19869513236547823,-0.06275500160208031,-0.2897879899566337,-0.13653937229091748,0,2025-11-07 22:32:05.611405
31,M15766,L,1.527806543492125,1.2914521052352037,-0.8426573936372607,1.9131132324374773,0.4349350120740552,1,2025-11-07 22:22:05.611405
31,L51814,M,-0.15297593724841485,-0.6124778511379871,0.35167459458138084,-0.15005236068564642,0.9796719613481313,0,2025-11-07 22:32:05.611405
32,H34725,M,1.14826891551402,0.12989458834516265,-0.9674956175119843,1.149631070122171,-1.5228211492103125,1,2025-11-07 22:22:05.611405
32,L55678,H,0.19759913583682334,1.2802591103700858,-0.5600705170222336,0.6683991821872801,-1.0483739828692953,0,2025-11-07 22:32:05.611405
33,M17385,L,-0.15297593724841485,-0.27448910801154003,-0.996603025002146,1.067643837247244,0.8381803838445899,0,2025-11-07 22:22:05.611405
33,H30587,L,0.2977634424326301,0.2662928809907446,0.3793032343269449,-0.08018454605015245,1.7814575672015325,0,2025-11-07 22:32:05.611405
33,M15154,L,-1.354947616397811,-1.2884553373908814,1.2302653384903184,-1.3877107913715347,0.7281313791196132,0,2025-11-07 22:42:05.611405
